Tipo de vivienda (principal o no);Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del municipio;Total
Vivienda principal;Total Nacional;06 Cantabria;39 Cantabria;Total (tamaño de municipio);238.230
Vivienda principal;Total Nacional;07 Castilla y León;05 Ávila;Total (tamaño de municipio);69.768
Vivienda principal;Total Nacional;07 Castilla y León;09 Burgos;Total (tamaño de municipio);152.331
Vivienda principal;Total Nacional;07 Castilla y León;24 León;Total (tamaño de municipio);198.576
Vivienda principal;Total Nacional;07 Castilla y León;34 Palencia;Total (tamaño de municipio);68.354
Vivienda principal;Total Nacional;07 Castilla y León;37 Salamanca;Total (tamaño de municipio);143.233
Vivienda principal;Total Nacional;07 Castilla y León;40 Segovia;Total (tamaño de municipio);63.353
Vivienda principal;Total Nacional;07 Castilla y León;42 Soria;Total (tamaño de municipio);37.971
Vivienda principal;Total Nacional;07 Castilla y León;47 Valladolid;Total (tamaño de municipio);216.117
Vivienda principal;Total Nacional;07 Castilla y León;49 Zamora;Total (tamaño de municipio);76.035
Vivienda principal;Total Nacional;08 Castilla - La Mancha;02 Albacete;Total (tamaño de municipio);151.262
Vivienda principal;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total (tamaño de municipio);193.882
Vivienda principal;Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total (tamaño de municipio);80.906
Vivienda principal;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total (tamaño de municipio);104.311
Vivienda principal;Total Nacional;08 Castilla - La Mancha;45 Toledo;Total (tamaño de municipio);269.362
Vivienda principal;Total Nacional;09 Cataluña;;Total (tamaño de municipio);2.989.359
Vivienda principal;Total Nacional;09 Cataluña;08 Barcelona;Total (tamaño de municipio);2.197.826
Vivienda principal;Total Nacional;09 Cataluña;17 Girona;Total (tamaño de municipio);298.926
Vivienda principal;Total Nacional;09 Cataluña;25 Lleida;Total (tamaño de municipio);169.763
Vivienda principal;Total Nacional;09 Cataluña;43 Tarragona;Total (tamaño de municipio);322.844
Vivienda principal;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total (tamaño de municipio);754.099
Vivienda principal;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total (tamaño de municipio);238.331
Vivienda principal;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total (tamaño de municipio);1.030.071
Vivienda principal;Total Nacional;11 Extremadura;06 Badajoz;Total (tamaño de municipio);266.157
Vivienda principal;Total Nacional;11 Extremadura;10 Cáceres;Total (tamaño de municipio);168.207
Vivienda principal;Total Nacional;12 Galicia;15 Coruña, A;Total (tamaño de municipio);453.399
Vivienda principal;Total Nacional;12 Galicia;27 Lugo;Total (tamaño de municipio);137.555
Vivienda principal;Total Nacional;12 Galicia;32 Ourense;Total (tamaño de municipio);133.631
Vivienda principal;Total Nacional;12 Galicia;36 Pontevedra;Total (tamaño de municipio);366.506
Vivienda principal;Total Nacional;13 Madrid, Comunidad de;;Total (tamaño de municipio);2.546.843
Vivienda principal;Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total (tamaño de municipio);2.546.843
Vivienda principal;Total Nacional;14 Murcia, Región de;30 Murcia;Total (tamaño de municipio);540.662
Vivienda principal;Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total (tamaño de municipio);256.330
Vivienda principal;Total Nacional;16 País Vasco;01 Araba/Álava;Total (tamaño de municipio);140.218
Vivienda principal;Total Nacional;16 País Vasco;20 Gipuzkoa;Total (tamaño de municipio);298.410
Vivienda principal;Total Nacional;16 País Vasco;48 Bizkaia;Total (tamaño de municipio);480.876
Vivienda principal;Total Nacional;17 Rioja, La;26 Rioja, La;Total (tamaño de municipio);132.241
Vivienda principal;Total Nacional;18 Ceuta;51 Ceuta;Total (tamaño de municipio);25.380
Vivienda principal;Total Nacional;19 Melilla;52 Melilla;Total (tamaño de municipio);25.578
Vivienda no principal;Total Nacional;01 Andalucía;04 Almería;Total (tamaño de municipio);158.820
Vivienda no principal;Total Nacional;01 Andalucía;11 Cádiz;Total (tamaño de municipio);179.828
Vivienda no principal;Total Nacional;01 Andalucía;14 Córdoba;Total (tamaño de municipio);114.679
Vivienda no principal;Total Nacional;01 Andalucía;18 Granada;Total (tamaño de municipio);205.706
Vivienda no principal;Total Nacional;01 Andalucía;21 Huelva;Total (tamaño de municipio);119.551
Vivienda no principal;Total Nacional;01 Andalucía;23 Jaén;Total (tamaño de municipio);127.551
Vivienda no principal;Total Nacional;01 Andalucía;29 Málaga;Total (tamaño de municipio);336.222
Vivienda no principal;Total Nacional;01 Andalucía;41 Sevilla;Total (tamaño de municipio);189.520
Vivienda no principal;Total Nacional;02 Aragón;22 Huesca;Total (tamaño de municipio);81.599
Vivienda no principal;Total Nacional;02 Aragón;44 Teruel;Total (tamaño de municipio);71.086
Vivienda no principal;Total Nacional;02 Aragón;50 Zaragoza;Total (tamaño de municipio);148.443
Vivienda no principal;Total Nacional;03 Asturias, Principado de;33 Asturias;Total (tamaño de municipio);227.773
Vivienda no principal;Total Nacional;04 Balears, Illes;;Total (tamaño de municipio);210.587
Vivienda no principal;Total Nacional;04 Balears, Illes;07 Balears, Illes;Total (tamaño de municipio);210.587
Vivienda no principal;Total Nacional;05 Canarias;35 Palmas, Las;Total (tamaño de municipio);128.348
Vivienda no principal;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total (tamaño de municipio);140.037
Vivienda no principal;Total Nacional;06 Cantabria;39 Cantabria;Total (tamaño de municipio);145.412
Vivienda no principal;Total Nacional;07 Castilla y León;05 Ávila;Total (tamaño de municipio);102.179
Vivienda no principal;Total Nacional;07 Castilla y León;09 Burgos;Total (tamaño de municipio);123.340
Vivienda no principal;Total Nacional;07 Castilla y León;24 León;Total (tamaño de municipio);156.175
Vivienda no principal;Total Nacional;07 Castilla y León;34 Palencia;Total (tamaño de municipio);48.077
Vivienda no principal;Total Nacional;07 Castilla y León;37 Salamanca;Total (tamaño de municipio);102.890
Vivienda no principal;Total Nacional;07 Castilla y León;40 Segovia;Total (tamaño de municipio);64.902
Vivienda no principal;Total Nacional;07 Castilla y León;42 Soria;Total (tamaño de municipio);46.284
Vivienda no principal;Total Nacional;07 Castilla y León;47 Valladolid;Total (tamaño de municipio);80.793
Vivienda no principal;Total Nacional;07 Castilla y León;49 Zamora;Total (tamaño de municipio);79.576
Vivienda no principal;Total Nacional;08 Castilla - La Mancha;02 Albacete;Total (tamaño de municipio);90.079
Vivienda no principal;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total (tamaño de municipio);119.298
Vivienda no principal;Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total (tamaño de municipio);84.710
